id,tomato_score,review_text
17,positive,"...everything about Requiem for a Dream is clever and cool...in the quirky shooting and editing, in its choice of actors and in the dark, desperate world it creates."
18,positive,"Aronofsky is such an accomplished artist that it's not the horror, but the tenderness that you take home with you."
19,positive,"""Requiem for a Dream"" is a daring, original and important work. But if Aronofsky could apply his dazzling techniques to a story with genuine human complexity, his films might evolve from science to art."
20,positive,"""Requiem"" isn't for everyone. But those with a taste for hardcore movies that mainline their way into consciousness will find plenty to admire."
21,positive,"It's a deeply uncomfortable, even appalling film to watch. But there's no denying Aronofsky's mad genius behind the camera."
22,positive,"This brilliant movie leaves you impressed with its dazzling technique, just as it leaves you emotionally drained by its harrowing depiction of its subject - the ravages of drug addiction."
23,positive,"""Requiem for a Dream"" may be the best movie this year that filmgoers will find almost unbearable at times. Director Darren Aronofsky's hallucinatory drama about addiction displays the talent of a master filmmaker..."
24,negative,[Requiem for a Dream] is the work of a terribly self-important auteur who confuses glumness and grunginess with profundity.
25,negative,"[By the end of the film,] all [Darren Aronofsky] can do is hammer the audience with his characters' pain orchestrating a crescendo of desperation that mistakes sadism for art."
26,positive,"It's a bravura technical and stylistic show, but it isn't just for show. The elements of film grammar are used to hurl us into junkie consciousness and underscore each character's nightmarish plummet."
27,positive,Requiem for a Dream is often hard to watch - the visceral gore...and visual repetition work almost too well...
28,positive,"...[Darren Aronofsky] has somehow managed to turn Selby's road map to hell into a frequently compelling misadventure. He has done so, against all odds, with a display of cinematic daring..."
29,positive,"Ghoulish in a way David Cronenberg would understand, and as rationally controlled in its fever, Requiem is not a movie to watch but to experience."
30,positive,"Aronofsky works his way through a sampler of experimental film techniques...all the while barraging the viewer with quick-cut images...By the time the story ends, we feel as pummeled as the characters look."
31,positive,"Needle phobics should be warned this is not a pretty film. But its seething humanity, its passages of real interaction and love undone by addiction make it very much worth seeing."
32,negative,"...even beyond the perhaps outdated points this movie makes, Requiem fails in its more basic story elements."
33,positive,"Burstyn's performance is particularly harrowing, a terrifying look at the unintended consequences of the pursuit of fame."
34,positive,[Requiem for a Dream] brings a humanity to addicts and an understanding to addiction that's largely lacking.
35,positive,"This movie is nothing less than a vision of Hell, in the Dante's Inferno sense. It's also the most potent presentation of addiction ever unspooled on screen."
36,positive,"Director Aronofsky, whose ""Pi"" rattled brains, plays his visuals like an extended, clanging symphony that builds until it's almost too deafening to tolerate. But it's a stunning experience."
37,positive,"What makes this gruesome tale of woe worthwhile is its raw cautionary power. Be warned - despite the funky style, this film will repulse as well as compel."
38,positive,Director Darren Aronofsky's relentless use of disorienting visual techniques and unnerving sonic effects is so successful at achieving the desired emotional impact that the film can be pretty much digested in one viewing...
39,positive,"...""Requiem"" is both deeply, deeply depressing and - oddly - exhilarating."
40,negative,Solid acting helps the story stay earthbound when Aronofsky's filmmaking gets addicted to its own flashy cynicism.
41,positive,"Darren Aronofsky's ""Requiem for a Dream"" is, I'd argue, the gutsiest, most powerful and brilliant film ever made about addiction in America."
42,positive,"Here [Darren Aronofsky] delivers a tragedy on the level of Oedipus, while simultaneously providing a wonderful object lesson on the power of film. His approach is startlingly fresh and creative - as compelling as his subject is off-putting."
43,positive,Aronofsky uses just about every cinematic trick possible to portray the horrors of addiction...The result is an unrelentingly dark vision that's as hard to watch as it is impossible to walk away from.
44,positive,"Aronofsky wants to upset us. He does that well. But I'm not sure to what end. His message is a tired one; existential nosedives, especially when drug-fueled, have occupied screens for years. It's the medium itself he so grandly rejuvenates."
45,positive,"Aronofsky goes for shock value to get his anti-drug message across. At times, this tactic seems gratuitous, but it has a powerful effect. Some moments are so painful and raw, you have to physically look away."
46,positive,"Forget that this is an elegant, powerful movie, brilliantly directed by relative newcomer Darren Aronofsky...This is Burstyn's movie, pure and simple."
47,positive,"I think it’s a masterpiece; gut-wrenching and soaked in a hellscape of realistic proportions. Requiem for a Dream is a tough watch, but an essential one."
48,negative,"If anything, Aronofsky’s doomy, freaky, humorless style defeats his own purpose: It re-animates the dark romance of dissolution."
49,positive,Though all aspects of the film are excellent from story to cinematography to directing it is the acting which holds the whole thing together. The three leads are amazing.
50,positive,"At times disturbing and always intense, this flick offers its own acid trip for viewers and is a first-hand look at four people who become trapped by their own hell."
